HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
07f0c1c42aecb76ccec7d17426f4bf7a5811d7dca6796338240f52d95ee2e6aa,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
faa3017faa910287dbbd3b06ad490aae3388c953e46a86171dc5cfbf563b60a1,3,0,1,3,1,0,3,0,0,3,0,0,0,4,2,0,2,0,0,3
326b0a304c0dc43dce757408d9570c09d66167e73a4dd2c426ed9e13f585037c,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
df145ae54f706d9c7c052c9766b4eaeabf20eeb11ed5783a841cbcf898a96135,2,3,4,2,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,4
5abef56092d6dab05258f89fd716ce6600bcff8e3a175a79581667727f24ca02,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1
4eb33c4b2fe771e8766fb6fddf744d351a1293fa41ef178f119b5519b3e1ef65,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
d48b285e07a3154e1c178715324890f073d6a35f814d94c5c7b2def5d5546bd4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8b31978c02611bb4557aefd5819ea2767549ac090559e36d421dfa8328660ce3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
177711d3cc7c7f4fa6a232bb572672a3cf4276310348eb31ea0c9ca981774b22,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6883ba10cca018dd0c6db69f2647e3a2634221827653ffb08aad525f5aec16bb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
e9695bdac3bae2e04894151d1979b3f17827e7c700c6cf46cf954256035afe0d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1b49f6ac0ec007612316189fd86b7269d0ac040935e4c791f8669d618bb586b0,13,11,12,1,5,12,11,11,0,11,12,11,5,6,12,11,8,2,13,11
e3c74d6c6b894e96bea5b1bffe11c5334eae6f554451ab2d9a8db9033ad16e23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
023328da8ca248e360e3e43d894561f00de0c199f1caa5f30e7e6ace164fab4d,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
077c32c4a4ec9ed83adc33e381cf98999ff2e09c623b6ff9450f40ba2d11be9d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
c1b292f75c86259a9fa6124f50e58ae90f8de15adc8a89f53156efc8c13a5b63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22072b261570f0452b5c8ae0cbe6e52c38ec68f19f1276535d87d02d7e085275,15,0,4,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0
87dcf5c666fe0424cabb84c4d2c5f5c2340f51cc158063f439f063986804a2d1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
b403308b0c25bd5074dd2eca271c429cf381ba0d1334285366a5e036df1ede67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0fe3b5513e1e373a64d3bee42d563c569c1d684a1b942450564b187d5815001,6,6,10,2,6,6,6,10,2,6,6,6,10,2,6,6,6,10,2,6
ed616a6d6c45fc11d2f43afa0e653b9c00e0d83e95e4030b73c37c08b610ac97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8c5c54e77476873f5e75635541771acfdcd6a03c6e78f2101671475496464093,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
bfaa8b46adff8dae559798ffb2a94e8153eb6e5c7d2130cca18a0b5d64eb132c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
818d725b8b49094a1c179740125031dc4f6a93cc0d51897716b159f78555a945,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
aec7165c66275bca909b5140f29e7a88cb3f8cf291d563901bb913159dd435c1,0,1,2,0,2,0,1,1,1,2,0,2,0,1,1,1,1,1,1,1
d6e8f047523d8fe29eb971058e9436564c5c7c19d45305ac7802af7bbeaef3ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9a554786ce79b7451c0de8981e02571e9967d4296a485bdc38cb6db863351321,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
b1382183a358e4688ec81056011e0a6922e3142f40995b16bf68730d1ef2b6d2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
