HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
f0690be7fbe20d3c98c7c9aececdde36b3a33ce395c17343af6c5e8b32d17fa0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
e2f0c150b979b43b7912986080c3db8238bf1f2eb30a87942d3143050dae63b6,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
9701bfd7f62437b5b7b94f346d656147a9411700f4d9553a093f9f35f25aa155,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
501f9dabcc75e21c2adb4c55f0f3741bcf4cf6975fe8fed5e5baf31b48b37c97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dcceb81334c054e91627657988aa63dc0a5ef43c894cfe9f2619509043a8cbd2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
f935f658bdfc718c01fa321d46f13d1d0bb93df4495f51a7c11aaea90e999390,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4540a7be946b90a74d7ad12ddd7f812dbf6a90d82f4b4aa37fa06d29dc9b6236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
750a8de9cc2a60e9ecd6607f2707a5a17bab82f746b5c8400dcb04f843a63a6c,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
09fa5d49a60cbb91fe12ac87b1c057fedfaf8f2825582df4f9a94f8ee05b7bd5,2,3,1,3,1,2,2,2,2,3,2,1,2,2,3,2,1,2,2,2
c4f2ce2f4a4a3177a5cdd516f3eff7d06e2196d212ad4b5d10ca9694c61afeac,1,0,0,8,0,1,1,1,7,0,1,1,0,8,0,1,0,2,6,1
1ccfed50871693057bf5faf6cf3cd0699ad497d30516e86285574f7037ab2349,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
c52c4af99550db44401ad3336ccb32034fff95447c784f05f790ae082f2be552,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
4fe8b60d6c518fb2f3a7a37026aa7a948a2884d03091b65c35524720923e04a6,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
03e390ef619ac51635a8249a532f80b1dbfdc861d7ee33ab25f0489d332fa3b1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
559f68d8f94c925dfb7e96bbdbd7366f303d4a31575c99f5bac881f932c89ce4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114ddd102ba7819bf5bd9363fdb9b90816d60892a0bc72662e93f6e1e8272411,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
