HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ffb003b89b420f38c922f4e9dc1c2691d76e6e35b8ce70d4446ea312fe2d399b,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0
a88cef6373f74cda53325c22df0fccb715c4445258482f3854167d8e165a7828,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1e1ce5c689367b235633933d2670057511fb352727fe479f57622a88c13ff12a,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
01c1c0087dc4266df670f9d6150d4db1e2830b62e492d6625f392933ad84d695,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
a9d05a8f551ed39989c30b457e450a32d99d75a5bef28a6938f719e3276ef6a6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
526e1c237c669b79851206920ef590dd940c9fabbab7c1254f2be21ad5b5563c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd6944102e17ab4d015fa390c33e2cb1bc70efc0c303cab7ec8320d1de762922,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24c28d854ef232877553820da19d49c3e5a86877c9b324e8b2c774d6c941cbc4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
3a6dd11bfe2056918ee0e3018c8ec3387b29c90f118f795f96a1785eb3505e66,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5c8ef369cdfbe987357ed0e82ddb22305790883397e9fe1ca0d1d70da0bf104a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c18f1d1b301033908dc6dc285daafae5afb289b8e9dcdcebd631f33a4c508d2c,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
bb39543a55d0355ec3a8959813a1d9f4ee2135aca8750e72e398494dd9fc715d,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
