HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
7710e0b054d9310bebaa084052cc9f14d0c1bb7af0ff7bf838fc690a02de3108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57e95f1f624dbcbb2df33ec66d33fba53e0904030b68d01c172fa79757e15224,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
e16b772957d4842b35ea6deb42f0c7cc620171518cb59ac9543e265529e722cb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27f0a9933386b7226ddedf2e005d07037f3ffd98274b7df710e6d73a7544fbb9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ca542016260515a44bbbf3724f697d73ee39cc9bee4bed2bad7897341c037f90,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
5cb001608469ef14866f135ca45aca1ec24568c4f4063d1f96dc6dc0f18b8c7c,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
e38358d117fb5f09cb15eff4b0432355f9b9fe661211efba255633fe00ba842b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9126826df9c1d52ad8df7f2e5e1525072de61f57754c325110a79660a36b3e21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
a58754451e3141e76324f36f92cbb53f5a6b506804185e20156a4c2651b6a934,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17d68d2d654a66412f00c4f4c89a511caa8055168693f4634be07a6aeeb57413,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
8c5f2f782bcff0dfddbe2a5c0a9d20dd60df870a8a6a05228b5c9860e94c42ee,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
716efccae7dd2d748c05b5732d13f6f9b949b05bb2a9e96adffa628f1f930105,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
e253a14bcc1ed47749688c28504378deb4a25b6ddef3c0b54a51e0097adbff78,12,15,8,10,12,12,15,9,8,10,13,10,10,7,11,12,10,8,12,16
4bfe6003c50e38d9388c3f9d26f4c2d825a3e1158bd422792f9532ecbb9b336a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aa3f8ab0e8859cc488b2164a30c6b8a8a03c9a5086edcc2b9aa83b61ef47ce90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b2645c142581b57fc3011fefe813fca3aec5dfb94ae6e9edf1de2721e4ea7ecc,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
ecfe4cd34097cc1df65769fdb05485654c2614f6de898b3b81ae81a41fe604fe,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
14bb3f9ebc8fa1be7de7aca44e257653427d28fbc013f45b57b2be6677d19e2f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37d09e22affe9f274b34a81a2bb0640addadc11daf5b47b7cafa1c80d9fc1978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2d294ee2d71a88dc4878d202af37693d2228c4c81d63b8a132bb284132d4e3fb,12,12,12,12,12,12,12,12,12,12,12,12,13,11,12,12,12,12,12,12
077c32c4a4ec9ed83adc33e381cf98999ff2e09c623b6ff9450f40ba2d11be9d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
c580d59a209bb51d8b864c1184b5688091a9d8b8b95551803cbdba4b23e40724,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
e1682cfde283cc2245a8fe31a7f342d808d341ebde1c11ce656a1064640bf20b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
67d111a9f1ae31fbdfa9bbf5afdbd52184aae4da4ffd8c928eb9c2d5607bb1f3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
af0c1aacdde4361e7bf6f7599b8e8d3512055efbbda3c48606abd27df4922125,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
96b1ea7f3a3d0ef031da2ab0586fc0f54ed93bfb13918b6f7f1d7f0e042722f5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ae19c2ffabb7c9bf85974cebcf9ef06dbe5bedfa3d33e9a0bffa860c7d41f87b,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
aabdf6b598cb298ff630cf5a9325193142c6bb9323106866ea977590e0a66820,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24dc3b8eb4d465aad675de6c01e051336fd408c6cc6eb82bf76e7834378c0cdb,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,0,1,1
670704c0c5555588c858fb7708ffb1929bc64f1f8c32cdcde6f5ef8081d697dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0c68d72ec2dfbb232c7436e1ac0efe26a4c5b74b757f9967278a0672b8e4b17e,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b91fcfe6702bd5de5220356ae0fe41b7ce94a92055532b5abf6f01788a710dcf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ce64a05237b4fffdd12b3cf42692b236550d4ea895ba0769058d0f7ef88cf7da,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3f0d30e1431d8da70fa750ca16d687a16902fc152e95d27e3e463dfe90125fa3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e397620f07e854eda912cbd0748ce205398789277558da05f73fc7d17c2a97c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
f77e92775564aecac15bf0c73a50713384e69542c9c5261a928cfb9cb0219564,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
08215521cbe7ad57c51a73153249a34e3dceae0affbb3d5506e89be6f6fbbf2f,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0
2fef41c1932dfc9aaea2ef266202da3e7ceaf5f876258ba35994e42a7b432dfe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
a7706a788cdb28bcd3a74f9d1592481af1eeb4690cacaebb34abd4a78d385451,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49639ce79bf47cdebb97779796f04cdad8f4c2d108b48d15123307d62e4416fe,1,0,1,3,0,1,0,1,3,0,1,0,1,3,0,1,0,1,3,0
e3dbaadd3aca47317bb1260d10e880422d484308b7258c4b5bccb87bc070c69a,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
00f3e945dc88a20d2275dbae757bea531a0dc9a34db646eb8b636054b7cc93ae,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55b1accdddf2304d3623fe7302e5b7f7fee2d82a8688478b21db72e0e7e46021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6aba34b325f93d281194873396086553128983c53ffa1c348173cf48f6935f13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
f073f127bd7072eee1938f7e27b7cbcacbcb934dba6ce0932b9685f599d5828e,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
14be234a531b525cd167a5d2c4e51a8c64f7b61a44e67f084314fb81bf76bc4d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8dcf5da58a626540c4fc0a28a1eb454f3e6ffccbc047ce8793d9d17498da01b6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
eda6de00679f6d74085b96b28f77c9a0bb96515df36ea30a8549128f139b717e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0acb01dc21c5afce8d2435c3d56d4b0add0553d2a93c96057760556379848dd8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
757019d537f410cc3abd837d33845f969eb46f41ba0ecf9d1932e3a1ca9f5588,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4fbf9372e8e2ecaf0965d9f89b6977910edb2322963bb7cec3ad36764d665ffc,0,1,1,1,1,2,0,1,1,1,1,2,0,1,2,0,1,1,1,1
74bf13893a02fb4fcab5f1128856df23042213f266597e169abf85a747fe037f,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
285863fa6ed0500607bc115fef856e9a2532c6c47ee58282cc694f4d913530e4,0,0,0,0,5,0,0,0,0,0,2,0,0,1,1,1,1,1,0,0
f4c1c33884a84a16d8290af9a20475c6f9a085ee590d42fccba85536479a74c8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1803f56ca0cbe1c946228aad10845e2ee34e127a309ce61ec89a58ac29b0fbcf,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
80160f44685071e8bc08189579883d103557e4571550b155dddb4008cb920f22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
c7f333ec375ea6ed6d62ced79e2197315853d48d2e134f5a129094929995ce76,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
70d7b3deb3a86ab4ac3ee63779fed4fe223c6dc03fc79612ad73656e8da406d1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
d7817f27c11c680d7d214dae7e7e172b045f05d2537e9a2a1999d63d465fa950,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
