,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
31772,ff6c27268cd1a532c8f140589d76507aeac29bc4d0a2d79a63420824ca66b176,3,3,3,4,3,2,4,2,3,3,3,4,2,3,3,4,2,3,3,3,3,3,3,3,4,2,3,3,3,3
20691,648ebbbfeeed7e9aa1cfc44bee95238b5f9f7e2eb7a495a4b6738bf25879c586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8151,d958ae5fa216a7051c2ff4f214bf600fca3e59cb010e7af3702054206b5980c8,4,5,6,6,3,5,1,3,4,3,4,1,2,3,2,4,9,6,5,4,4,1,8,3,2,2,5,4,3,3
44343,d283a20384797f3b4ca9477dc01f7fce00a37b6a98aa2e7f95b96a7b2bc82c5f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38700,55b4e371721372911395f2957be0303cff9b73cd3454501c69a0df37bffa3e94,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0
45182,609421bbba475a0db37bbbaa779c6c3197c2d7d73c6917217d9fd57cc0bada10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15403,80ed8f133b49269ca2111252a95c961fd86507313448b9b7bcd73486c69dc6ef,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
387,2d595bbb9645b5353ae7003de34d6b8b80d4e694b008d916569ee1113d905dc5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
15066,cbade3564856aaebf38f26574d2bf0cab66bdc14502f4ea2c850de8b10332d3f,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
29407,a23a6bc43ea0b2c7bc3a02d7df060b0f180c9f1ebbcc618ee0690877151553df,3,2,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,4,1
2526,63194d5c848b00b35f8791041a598e622cb8884b6891fed1b8c9cb83f656f368,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1726,f9edeb49a383527c97667b2e856297fbb927f92c167631009053a9993d340491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28094,5542fa6913c819e1159bf436026f561b3d98f3b9ec8136b1253f9b50b9126a23,0,0,0,0,3,2,3,2,5,4,3,5,1,0,2,2,2,4,1,3,2,2,2,1,0,2,0,0,0,0
9597,c345df1d46b12c390f10cbea8b2009132cedf64d0c055b449dcfe0db88ba495e,1,0,1,2,0,2,0,2,0,1,1,1,1,1,1,2,0,1,1,1,1,2,0,1,1,2,1,1,0,1
26286,b2c6171a6a6dc7deaad1e9957510b3e1e3c693b217f9ae7a2177e58fdf026c56,0,0,1,3,1,0,0,1,2,0,0,0,1,2,0,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0
32265,e873347893db6671b2c4d14834ed553c5cb5587bde18fd87a4c398e6bf80813f,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2
3327,d26a2624312a86a42bdf180ed73e5632c9b8cea4f22120af581bba9184ddb01f,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27384,d2dcae27b8af42a2d62c1dc33954a2ac0f44d0734f5b4bee8cd2eb119aa8b87a,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46994,0e17e1725ed248c44f81c46fe33be473cc686ed4b4831c160d097feab579c36e,2,0,1,2,1,0,2,1,1,1,0,1,1,1,1,2,0,1,2,1,0,2,1,0,3,1,1,0,1,1
27514,0df20c207689e22d8de0b332ce725e1b71e8d54e4e13531d467c665c29bc1680,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
34789,6cb0250fb6dddfdd2c14922a2e97bb9a13247f85cbca140c0da549bb1a79824c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47067,e166d6ed8f328a712847de5fb94158a2cb6f03fe3ddec07221015a159fc91c60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23767,8a79e386fd2e1af4830e866e2d1db55ad2d53c4414c63370029c9450ff7e8db9,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
43831,398579ae269731959115f4749881c9a64d2cbf7e62ee79ea83f718e1913f53f9,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,2,3
17602,67f9020b8e28f0dfa47980965303f274974c077e52c47c6db3c9320ef22d70a6,3,4,3,0,1,1,0,1,5,1,3,4,3,0,1,1,0,1,5,1,3,3,0,5,1,1,0,1,5,2
735,18ffbfae15f85249cbf5c0fa29656a010a59cc3c8ba095179466cd34cb9b1f22,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1
17505,7dcdcc08ffff547aaeb738aa5c3e8cad8623da4bc76a5688caf5b52a23d9b191,1,1,2,1,0,1,1,1,1,1,2,1,1,0,1,1,1,2,1,0,1,1,1,1,2,1,0,1,1,1
36109,14f0f55801139dbca3cc2d3a2030382da226bde1d48154718c6f6465309afaf3,2,2,0,6,3,3,2,2,2,2,6,4,2,2,2,0,2,4,5,4,2,2,2,2,6,4,3,2,2,2
12245,c5c19efa507f8ceae49c9ffd627dbd72d9d161424f1d0bfc8f688cfcb9479da3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40026,7ce8b85705ae715a16860f68fc4c0e067413495de622aae4671383e72ba82a46,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
44576,167c4df14966a145e2b2e7431edf52d5a1705769168825d19ca24f4864331e8f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25058,b2296114b8741e84c300bb6ec0f365f2010004b93b57d6f5b183c2751c7f189d,1,4,1,4,0,0,1,1,1,2,2,4,3,1,0,1,5,2,3,2,3,2,1,3,3,5,2,2,2,1
15312,f9e22e9877d471cb62ddef32c357a0f1b0924eb7f5df8d0f4503c4719345ca8b,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
5583,2c09f185ff75840a6a5c9817d2fcdeb6a0d911322ed4c14df5a78437e78acbab,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
33171,1fefbf8c9ffceaf2151d42288a97deaca424db7a0de675acaf44579dace75cf6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35924,8690098ac1d889e34eaa8170620736ec47e956467355bdc9d504b026edbbbc7d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5396,176c5763eb7fae00a283deebc6178ef7aa1e4e1ba9f0dd3dc368c6725546e88e,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0
4206,a353ac82f784683fe123c9ab897655aabcf13ac5adae391203faf73d49d3a909,4,4,5,3,2,4,3,3,2,1,4,3,0,1,2,3,1,2,4,0,1,0,8,5,4,0,0,6,4,3
