HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6eb247c9736c3f1c905c5fc171acf91db8c6f418ecc4039d942d71e8aef902a1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
ba81b4e6ecf656e97602d0cf5e551b4f60c511f0d028c379debc3ab092600f1d,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
f9df3a829f86f7e70ed1a5fc51bad76d37d6d58a4bfe8369a57b55179ac86430,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d9a718ade0bfc8190096640241e913c121bb44e313acb099b2c5363494574bd6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
f27f0a000eaaf00426595d2ae0f27a91067724c6a58c2d27637efbed639c5e69,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
6935732cc6f6239b5585b6a9bd8dff134f296b9f085023fcf701a285568fdb8f,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0,1,0,1,0
584f878455c22083fb74756678403e695d48f2dd6d88b4151c73c1622ec724ea,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9abc0cb04a0717fe883647e6da8348afef8a4e4dab4e2741895e1d918723df3c,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
fdc5e832ad037b00d904f947e8b327c6e0c005985ff7e5d2263b5b9ed44a1c5e,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
478e29d1690f88b91949f30fe8befd0d5b179a723aa99811b1e2bd8ca70c7775,0,1,1,0,2,1,0,1,2,1,0,2,0,0,2,1,0,2,0,0
80209cb672add9ab996f2ff3374a1454cfe3df002605b377389adcc67c96acdf,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
42dbbb707c3fdb74698d5921566751c804f3e014d037e6ed1a7bf979646ebe77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9f1ab17f6b408a4ad692c2318d5dae89de73e9b3f58b6f46f04552c0c3a550fc,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a94a5547b0de7ba7d73a3fdc31e54b9d6f2bb74ae53b628a6b26b34f2455f89d,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2
a81b2b062bd0ab29af51ca4a1e859e51299f8db33b7351f67a933ab34cbc17ba,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0c795d13c20688ad015baac7c547eaba08ebb52918dd30d5839f404748be1a81,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
c6ecc7a96cff5cbb29290ae9a5215705c9445e20252cc49217d8b80482a341f7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4727b7323bb7324f108b07b17d855538833dcb3272a37b47ac98f5e9a4c8ca29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2edd715c8a9a4d4b6b16ac98838829d65c0f0b5460076c9ee544207550003e1a,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49bd760a6037c223b25af031ca234a3805c88ff6d624ecb98bf23c2e87191948,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
95c42a8db0b90dfb50f1994efe8f28da86ded1466af4d91b6986213faf4ce58b,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
b948a308a311c78feccdea86126000060a970607e7b3b63c539cc4aaaabcd900,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
c22ca5df5c41cead3cf63cbec0327de058536e850b0a3a57d983ccc4989f7043,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
113aecbe564a53c580008b32c07a86ff0e9e57e1d93e36cf908d416f09e74efc,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ea921e3ee687360401318141ca945ee2a3b976d2492f128b8f1ad8c1defafe0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
91fc43185ca2c4f311e5c72bcf52e650f3d48b938b8220155bdcc107156d0151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
392d1e4b217fef814cdb1b962071befc6f7ec11c0d375c91590dcf4207646624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
88cf002d8df7dc53a41f9118f023da85834b9b62702aabdb41ad42b07128ad2b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33ff563dd49df4bb17e3ab617f018a2e37348b066f116e248c01b3bbc5f1cc82,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
93ef9e6dcb0fff38d4fd96778eccac9a99ab66b6ae3110995ca1a5306b3f717f,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2491a0c246d5ea10693ae498ab97ebf25b51b159a4e39c6ed9fe43ba00075699,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
56bd630abfc1fb61a8eb77faee1fd82e64c959cce4bb2d7aadfddce8c08c9a8c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b508eabe505ed8a26702646132aed494fc5f77ff1f244241d3ebe0baf92bbc23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6496a94f73d359c735df5bbe60881d9cc88506c1cd1cb2606e0844035469276d,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
633e92c03c1cfc6751535fe9b16e8d5beb01f1f14d5becc83944dd3d9e4b61a7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312489bbe9305cc8d1b855a464f1318c54c8a5a0adc9d51d4aad12934b99aadc,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
f5b642b371915e0b3d6a59bceeae50ebee9fce52cce23f8a118d14840639431c,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2972e0f0238ddedf34ea7c30b6012d81d4d3c5dc2606fb3361cdbd41f4e58218,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2
46edfd922c17e4d48ce8ff4e008b218a833a32a5a9b0e948a6ad644aa4130248,0,2,2,1,0,0,2,2,1,0,0,2,2,1,0,0,2,2,1,0
cd5e90caae1ae2ab0bf5b2cac0487f16791a8b4dd947655e1273a355e85ab03f,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
cd41233c305e1a97c0951bf71217b4713b61d93d9eec00bc09a34311b782250c,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0
3b886fd4e97b28a36e3372f0bf393d507613c289f10bb8e88dd092a4d2f1895c,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,2,0,0,0
a42f8523c80d3337f22b31df98d1a32c0ac240430c87f3775adf954351b958e3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
c7a630e6940021d16480d71d4ff4c76e29f588e165b81a88d645711a6ecb0e5c,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0e498fd8d6d9cb50a708549916080aa2b1dbcad45ef8a82d44ae064efc6672a0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0992da77453ede3893531967bd45c1e816b5083c3da9996c36dce6c3b3e5e88d,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b574ee361e7dd1ff7f4af6fe0b41f40089847c3ca2041e78c6735432899e48b0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
95d470ecd9f5a214aeaea5e63db9f9e0d7be78200d9a2a0d0514d7b379be1e87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
58c7b2b92575af0db0566a66aeaebf04b3238d627d880bb9140dd5cefe8030e0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
a5d4d552c224f954a2bcaa36f764816e974dd1f7f5acc8ed88b4c4dfe3e70294,1,2,0,1,2,1,0,1,1,2,0,2,0,1,2,1,1,0,2,1
55ec774e271fef0e52f1f407be6ee7a4d7eefe3f520483f9ac09acc5c525adb3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6a3fbf2cf95ffc3c57e2adf639c575faee34a0c28c815936d76d7a1a389b2ba6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a79e386fd2e1af4830e866e2d1db55ad2d53c4414c63370029c9450ff7e8db9,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
42ee797fca4606d4de1a16330cf01968888fdeb6a9a5210f884c1163c12ba9eb,0,1,2,1,1,0,2,0,2,1,0,1,1,1,2,0,2,0,1,2
4110acd753e225babc9533e91d671eb5bc072e06877effa1ee824af08d25aa9c,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0
8357f6898ab2c97780f94c60ed2bfbd442a3daac4f6342f8b7b3a4b89a927ffb,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6904436244a8bb7f0b2bde2112e91b25ed75b02677a8c55daaed83f1310ecc3d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100ebb205516778c9ce1a7f098ee05de297ca2179efa337370741afc619bf44e,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ac5a081fe88c418cdbaf148128d5b39b56ad9b55b3a878961a4968bb830dd744,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1722f1834143a0357ea47de94b169fa8f694534e074501f63edc33431e0ec16f,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130351b86aac7f1bf8d79e85c3c644409ff8e9450165981a124883b38456ece,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
816bdc790f6bca052760cae4a67f26d15dd6c9d88ba2280640fe36c984332a10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
63d39fb261994fee23997e730d35a75c2880698282668e6e4e3af84ed1578100,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
86a16a75b928f1f2d6c802e361e88acffbfb8fee7e94f5ca8dacadcdfcb527a2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
08cb140187e96374f82a8888b4532ba0a28f4c7d95db8a4ecb7dca2959b3586b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6245bc7c3691057d4c6213d77a41794a463e7a1858e0b3c88c73f6607e954316,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
81f8eb71c0809095c0676257a0d957d684e66eff4a91f258377615207f526540,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
f406eaf7a802fa1555817376b62958bb61bdd454ea2ebd00b2aec89c72164cdc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
f8fc86c2ce5167d706613656ecc1d155ba2167ea1b4fe5ee3c44f54c19a08211,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ecfb2e7718188b4eca7117818e0fa28f054fb4870e1604cc05ffc1835025659c,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
