,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
16192,04060d87f5f141a22e65ec9ad14bf4481dfb624186a61b09ceff7a50645557af,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
12589,a65e7aab31eec41f5aa96ffd3678637d14c47c46a15f0638932eb3f5d56c3f3e,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
5664,a8cf7e4ced7eb7bea681c08c53b058678d4e7a05c0bdc85cf58037eedb5ea346,10,9,9,10,8,9,9,9,8,9,10,9,10,10,9,10,10,9,10,9,10,9,9,10,9,10,9,10,8,10
7931,53187b94a94be60ccdc48cbccc1259e772bc79e2132c89ac7d4a379a2e1e5aa9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7
33188,1ef476497777c81fe048206f379b962a045ff1040e51ce99fc7930c13e0a4a39,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
43897,4c10e57ce1439822503adad0dbeb8878a9c2615fac2190dfce33a5e2ea8b022d,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,7,6,7,6,7,10,7,8
24604,461b65c510c51a3531dfc14d23c8def2aeea9ddadb4e8a9ed6ba6a7838e37832,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
35276,05ae7dfe8b546b4bb7ff5890c6d6130466a47665659ab1af6c6021f97bb3bb1f,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
37141,cce11ebc9ecfb7172add899799b9f31de32d20002b49e2303adb0df97ff13255,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11682,a46430ce3c6e43937fa26e523134189264e053d5f280b095f5f95c1e6ecc0c23,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,10,8
33827,f908bdad363a5ec8ec53baad4acee19d93547bad7bb944c268ec0f8c919875bd,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
33188,1ef476497777c81fe048206f379b962a045ff1040e51ce99fc7930c13e0a4a39,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2269,ed1207093c07ed6bedb1adf10acc5fa1beade9e4b88a5801915ee347e288ef61,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
33188,1ef476497777c81fe048206f379b962a045ff1040e51ce99fc7930c13e0a4a39,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11949,cc18f8bd571b3bffe06a80a9befef9d92e364b7401f91264c652cffa0e5cf0d7,9,8,9,8,9,8,9,9,8,9,8,9,8,9,9,8,9,8,9,8,9,9,8,9,8,9,8,9,9,8
11578,49c09458210dbfd66f8b8c9153b96deefe0b44964b5c10d1b6720ad92f683dfd,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
6129,2b9c4b11c97add83a536512a966d84a613663b3e225e09bbc15cab811465b099,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,9
43654,ae8a26b1268276a539233b2041ad9ba21f5143e4605cb09713f240c97383e8f5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
44781,d9fc605ed27ec87e12475d05a80cf2a2fabce16b1fea3103369f63ab1c6f7f5e,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
47191,2a93bec9d999af5d3a56264ddf0022111acc6aba352df2094ae946c9a36f238e,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
43804,a0c5bdbde578e3cfbff3989c190263965cde14421957ef49acbef20eb4fe9b7e,5,6,6,6,7,5,6,7,5,7,6,5,6,6,6,7,5,7,6,6,5,6,6,6,6,7,5,6,7,5
29705,d22311a39103821c8f1d623db1c594388b088e0903872d7c39c4c3cf5309083f,0,0,0,2,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
33413,1a457cff81a017556d6dcb3e057ddd586507c572298ca6e55bc0d0bb646677d3,9,6,9,8,7,7,8,9,9,7,9,9,9,9,8,9,9,9,8,9,8,9,6,9,10,7,7,9,8,6
