HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
a4d7c1a48729ca4a51c6247935f2d5a6624e45e0d2ec540f11cf9ec0f9cde0cd,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,1
3d31202c3e319ff15dccd64b16c65d2db8a795412a60e92e5df786012e0d6519,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7,0
22a99033b127f611841b505750d6ab7823da92a646e572ef8d521f8b6248bcc9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
b8b1fbc4938e554bf24a8bbf84a5c2edc52545a678ef0025b5268f5f19e6c940,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0
84a834bb3803c149c361dd4214ee95dc8dea71d247350f895898dde443977bbf,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
562cddc15a1acf919310478cc98e0aa2b5e0264bba9e1e72270bd490e1997562,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1
dac3f2b0b39f9b69de7e6104a568253ccab1665eff2f22763aad2ff9dd7d00e8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
bc58a170e829be161d5c2871a4f22da6d23bea5687dfae0ef2a73be1482298d7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
520cd83de7f5c74b1f38d6dc4cbe0a026e269613b08855d433c8ce34bcea903a,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20730a76a680fec5893abddb3d1ca80b20e775ecc4c1acfdaebcf4ca08b5bd38,2,0,2,1,0,1,1,2,0,1,2,1,0,1,2,0,1,2,0,1
5498361bb4d6543b2c2b30bf0cccd214981af15934d3add120cd86b26652509d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
900d575bc999f6db175fdb2660f109e9cc2f41081ad33098cba3c6aff13f6306,1,2,1,0,1,2,0,2,1,0,2,0,1,2,0,2,0,1,1,1
02ce3059c27c8ca7043176f0500110dc102e578e16fff02f15014cfe7ac8849b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160d60a3776d878cacc00ed3c287b0fde2461b67395b04cae1fc25652ca89cec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03934bd48191cd30b005414295a25c37e9028a575023005451ae12515825c180,7,10,10,9,7,9,2,20,10,6,6,4,2,7,7,17,14,5,3,5
7535378356485b37b63c0ca769248c169e1d8b381701eb27003891b4ffd447c4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0203945b1a6021809646dea3b26f9be35c9add29688a9bc285ca897aaddda110,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
cc661fb084e4f8f27c7fd1e12f5c803cb263894d368c7befb10193a47faf832f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d869e2bf9df67cfd85cfcb1aad958513fe6021c99d52a6a274a776bf75189370,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59c0892fd7dc4594462ac6db04b3bdc3836137c48a58319bba4fa1fe3312e4e1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
466784f524cbdd25e319658dbf3570ad87db0d3badc2c651bfa088391e5ebc87,13,18,13,17,11,15,17,15,13,15,13,19,13,14,15,14,14,18,13,14
cf411787bc88ce562e6fe7d282b5bc3646e118c399749192aa073932c3b7b474,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4a2fea839ee3d95a4c1a2779da3d33eabbacc28394fe7ccd81645bc2bf6a8530,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
f937a7a8d19cd93f15407882cdc62a30574ed1cb6070aa46c678047cf686be35,21,21,21,21,21,21,21,21,21,21,21,14,28,14,28,21,14,27,22,14
cf821e81d08d9bb8ff9149bf3d3866c743d2b21fd2bf0a039be00f70ba2ea92e,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c725c870ee9901399f1936fe8a83ba6deec0ce5afed7c93f1ed674645a431839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6530dd7d97edc8b652876dbb16475fb9f71a2b57df11878a54eefe20468477a5,12,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45810e95a3eae6c549c0389f58265487e8fbd20c818b314b1bff8003b47b4f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
b31dc6469d8d5c0ef0587888fd88720faba06c55d52085e4e879088baa8a52d1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
e2b6f303f001ec41ced7d4f18770d0def123e0959277ad16639912753108434b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ed49f87dc130079ffbec01eb35330629255195d1b185eb8b1653412eefa6f106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08fa6b2d1bdd86401e6c463974e64ea36d1fab1d34e2650da45a115fdc254a78,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2
b2867d0f376ac1d5842f3b73327a2727d4b4f8f89e8426a2787705d59573a78f,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
5a8ad85ec9f2e692035c444ef82e2dc1dee684a1a63d338e6d5fd1680644885e,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
d32b2dd6d2bc06cd8f275c1a2d8e14fc61d15e52d9178c2bea8df8ad9ab1b61c,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
3036a9d0dd2d44c4de43dce4c112d0e8ef9ddd449a16ad51d5fae474f0f1dd29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
