,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
25368,faf00370332eb111224c57ed933457db455afd66802f281eb66e4540b221f9b2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
33579,845b66d7844c4e8a80c622e3dd8fa8ef52f217de7e31bc76435a69c31fa890e9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
48214,f3a307e2d9c0d3845d1873141fea7790e72126a1e2ce97fbcbe2eade16bc9f63,3,3,4,3,3,3,4,4,4,4,3,4,3,4,4,4,3,4,3,3,3,3,3,4,3,3,4,3,4,4
21545,0d4c72e1975a58e17f74453dde00f893759696e9df3cac6da6ffc6dd8d25f308,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
46404,7c56374fdc9052612ffcf0a8391ad64c96cd82394e9052b0b1035001ec0686d9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39389,a8572595cfa562e12560344fed703389abcf67c8475336e480653865d175fc9a,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3
18071,ce7fae9bea195300f2f119270b8f29408e8f1d9331d68bf325d159815c9ce4af,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25670,06e17cc00e9fee811ddc3834608a5b659597a94d73a1950bef47ce9092a7e956,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40365,6b1a825eb95b5a1028361d70963ca9495cf2e4c32c51933119a5ec7ab2f70d78,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
38256,133b73dd2724d8e4125d741fb1edf769b046a0e503b6ed716b401bb164b65e95,3,6,3,3,6,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,6,3,3,3,3,3,6,3,3,3
38256,133b73dd2724d8e4125d741fb1edf769b046a0e503b6ed716b401bb164b65e95,3,6,3,3,6,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,6,3,3,3,3,3,6,3,3,3
39899,e1682cfde283cc2245a8fe31a7f342d808d341ebde1c11ce656a1064640bf20b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17926,f63a95f12754625096163dfc31e16b0e854813de5a0cd4fa08a40c57741db364,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23848,438d885b74e02d93f2d641e9cbc42e9c6163a77aed47e7d8690a79c6b604578c,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,5,4,3,4,4,4,5,3,4,4,5
