HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
781558d141f8489e20142a3c50b3ecbd8abf30566e1632561bb753ad29d970ac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42dbbb707c3fdb74698d5921566751c804f3e014d037e6ed1a7bf979646ebe77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80209cb672add9ab996f2ff3374a1454cfe3df002605b377389adcc67c96acdf,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
27f0a9933386b7226ddedf2e005d07037f3ffd98274b7df710e6d73a7544fbb9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
f27f0a000eaaf00426595d2ae0f27a91067724c6a58c2d27637efbed639c5e69,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
9abc0cb04a0717fe883647e6da8348afef8a4e4dab4e2741895e1d918723df3c,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
87f888a4320b43e2e680b30643b394e51906ca860d92278b8ac008ed3b946f58,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
dc2255025f0a83f03fd4bfc64bf2b822b99346488ebc44038cb86d1c5c6e558c,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
c01be87f873036e6b65baf50f5c5ab446af84937d86b5593b1ede63538ccc76d,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
f9df3a829f86f7e70ed1a5fc51bad76d37d6d58a4bfe8369a57b55179ac86430,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64cc34e83f7283a0ae28dc5c8f9715a5017254a79d4871c75a5430d6c22b6c81,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9007b7b6d11057ac5ae56c0ce99ff0b57e96213afe881265622d0ee24bcf16c6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0
23e57a5726444fd25350b781efb871592c1c7e581649576d2e9fb3928aa3db2e,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9a0924b9719a3116c0561004946340db61f75162f0c7ec95c59d456b49f01b1b,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0af1cc9a96c27bb5614be8c202bb6ee47662e3c929700c1ac7152704a14f8975,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
bc4997c4e1bff4c6a77e9b9e8ee02315ba28dc1749cd7782f0b0407830b5d623,0,0,0,0,0,0,1,2,1,1,0,0,1,0,1,0,1,1,0,1
6eb247c9736c3f1c905c5fc171acf91db8c6f418ecc4039d942d71e8aef902a1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
fae22483a4acd7f69bbea55db30d5280306dcf7851b5c62c5e4de709f111814e,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
6935732cc6f6239b5585b6a9bd8dff134f296b9f085023fcf701a285568fdb8f,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0,1,0,1,0
fdc5e832ad037b00d904f947e8b327c6e0c005985ff7e5d2263b5b9ed44a1c5e,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
a94a5547b0de7ba7d73a3fdc31e54b9d6f2bb74ae53b628a6b26b34f2455f89d,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2,0,0,2,1,2
a81b2b062bd0ab29af51ca4a1e859e51299f8db33b7351f67a933ab34cbc17ba,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
4727b7323bb7324f108b07b17d855538833dcb3272a37b47ac98f5e9a4c8ca29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49bd760a6037c223b25af031ca234a3805c88ff6d624ecb98bf23c2e87191948,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
478e29d1690f88b91949f30fe8befd0d5b179a723aa99811b1e2bd8ca70c7775,0,1,1,0,2,1,0,1,2,1,0,2,0,0,2,1,0,2,0,0
0c795d13c20688ad015baac7c547eaba08ebb52918dd30d5839f404748be1a81,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
16c8b44c151fd0babbc996404d2d25c6dbe362d3022f0972600ac9de71726d69,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
c6ecc7a96cff5cbb29290ae9a5215705c9445e20252cc49217d8b80482a341f7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
d840cc16c81b05e9b6aa7fd6518abdc5d6527bbd0432a7fcc742c42c071ec10f,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a10d7a5d8477ce5d047b71c10d5d71de0ce724eca7eb49ad23c307046a333dbd,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ba81b4e6ecf656e97602d0cf5e551b4f60c511f0d028c379debc3ab092600f1d,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
